word,Count,Median WPM,typed_word_without_mistakes
goats,14,206.23282993799728,1.0
lead,1,205.84646855373558,1.0
hour,6,205.75441890416158,1.0
finding,2,205.34803437923495,1.0
whether,8,205.32598541029944,1.0
ago,1,205.2788599268295,1.0
open,3,205.19397242705992,1.0
hear,17,205.15117504609486,1.0
parting,1,205.0373778257934,1.0
gracious,1,204.95539444733134,1.0
said,104,204.8592070867568,0.9615384615384616
goes,5,204.5456869837352,1.0
laid,3,204.4766760271545,1.0
placed,1,204.4422460593047,1.0
outside,6,203.81901371490943,0.8333333333333334
greater,4,203.781939983811,1.0
flour,14,203.70486811407744,1.0
take,24,203.70012023342125,0.9166666666666666
dear,1,203.44939980307794,1.0
clothe,1,203.1926647448027,1.0
obligations,1,203.04321790275122,1.0
clothing,3,202.8304567678502,1.0
table,5,202.80362491199168,1.0
finds,5,202.76784872437057,1.0
lake,3,202.42428382920957,1.0
young,15,202.10887133311348,0.9333333333333333
something,5,201.4732545187373,0.8
third,4,201.43159091529213,0.75
counsel,1,201.33856589895152,1.0
being,9,201.18282086480446,0.8888888888888888
death,6,201.1271317196685,1.0
loud,1,200.9007048266394,1.0
therefore,5,200.80134611272763,1.0
accounted,1,200.65443070993769,1.0
grain,4,200.22349212225487,1.0
peace,24,200.20338132385083,0.9583333333333334
pasture,1,200.14973106071255,1.0
hair,5,200.13842908011378,0.8
reasoned,1,199.87212348099786,1.0
these,34,199.65866564212408,0.8529411764705882
house,41,199.65213942241303,0.8536585365853658
fourth,1,199.20776179842557,1.0
sake,3,199.19070476576212,1.0
asked,7,199.10786403056704,0.8571428571428571
Because,1,199.08652466267276,1.0
kings,2,198.94716860187114,1.0
a,318,198.86570245559682,0.9874213836477987
close,1,198.86323148111018,1.0
touched,6,198.82370556556123,1.0
already,1,198.72066474901226,1.0
clothes,4,198.52169431611804,1.0
baskets,1,198.29124876982704,1.0
basket,4,198.24222820560612,1.0
speaks,3,198.1966308774936,1.0
gather,5,197.95289216048815,1.0
crops,1,197.74107190821124,1.0
ready,1,197.61316235403388,1.0
riches,1,197.55557896955008,1.0
lender,1,197.53308610604398,1.0
continue,2,197.3058820336692,1.0
toil,1,197.1970088500374,1.0
because,22,197.12256346038598,0.8636363636363636
reason,4,196.88847549494437,1.0
cause,2,196.74334877867824,1.0
such,4,196.73433411883047,1.0
make,26,196.30962925592684,0.8461538461538461
chase,3,196.28838296648667,1.0
there,28,196.2057312734501,0.8928571428571429
valuable,1,196.1995733885526,1.0
bring,14,196.0281339759719,0.9285714285714286
hands,7,196.02430047911608,1.0
consider,1,195.85469458602543,1.0
shown,1,195.8002159023714,1.0
