Test_Number,Rank,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Book,Chapter,Verse_Order,Verse,Verse #,Last 10 Avg,Last 100 Avg,Last 1000 Avg,cumulative_avg,Local_Year,Local_Month,Local_Hour,Count,Local_Date
367,21,1699066523.2554555,2023-11-03T22:55:23.255455,2023-11-04T02:55:23.255455+00:00,80,5.726847410202026,13.969291351727817,167.63149622073377,GEN,9,220,"When I bring a cloud over the earth, that the rainbow will be seen in the cloud,",14.0,147.95210178309526,138.74647289314106,,136.686,2023,11,22,1,2023-11-03
17,22,1698200325.0,2023-10-24T22:18:49.530607,2023-10-25T02:18:49.530607+00:00,56,4.051386833,13.82242731,165.8691277,GEN,1,1,"In the beginning, God created the heavens and the earth.",,124.48798621,,,121.86,2023,10,22,1,2023-10-24
141,23,1698621169.0,2023-10-29T19:12:48.737467,2023-10-29T23:12:48.737467+00:00,86,6.238518238,13.78532477,165.4238972,1JN,4,34902,"This commandment we have from him, that he who loves God should also love his brother.",21.0,140.63390608999998,139.3556819781,,137.454,2023,10,19,1,2023-10-29
582,24,1699228138.424085,2023-11-05T18:48:58.424084,2023-11-05T23:48:58.424084+00:00,112,8.125500917434692,13.78376559649194,165.40518715790327,GEN,18,432,"Abraham ran to the herd, and fetched a tender and good calf, and gave it to the servant. He hurried to dress it.",7.0,135.0364977558025,124.00611076032101,,133.278,2023,11,18,1,2023-11-05
313,25,1698792476.4469645,2023-10-31T18:47:56.446469,2023-10-31T22:47:56.446469+00:00,74,5.374683141708374,13.768253504238888,165.21904205086668,GEN,7,166,Noah was six hundred years old when the flood of waters came on the earth.,6.0,137.29487252711937,131.83858888343673,,135.372,2023,10,18,1,2023-10-31
328,26,1698792656.2379742,2023-10-31T18:50:56.237974,2023-10-31T22:50:56.237974+00:00,138,10.049388408660889,13.73217895340448,164.78614744085377,GEN,7,181,"All flesh died that moved on the earth, including birds, livestock, animals, every creeping thing that creeps on the earth, and every man.",21.0,145.83614109500303,133.58272326746038,,135.771,2023,10,18,1,2023-10-31
357,27,1699066369.41184,2023-11-03T22:52:49.411839,2023-11-04T02:52:49.411839+00:00,63,4.5915350914001465,13.72090134255921,164.65081611071054,GEN,9,210,"But flesh with its life, that is, its blood, you shall not eat.",4.0,143.99753933733072,137.41594976583153,,136.37,2023,11,22,1,2023-11-03
817,28,1699743001.4750462,2023-11-11T17:50:01.475046,2023-11-11T22:50:01.475046+00:00,118,8.600281476974487,13.720481162845788,164.64577395414946,GEN,25,667,"Abraham gave up his spirit, and died at a good old age, an old man, and full of years, and was gathered to his people.",8.0,130.10894118022878,133.48536753917892,,132.737,2023,11,17,1,2023-11-11
684,29,1699311636.1410728,2023-11-06T18:00:36.141072,2023-11-06T23:00:36.141072+00:00,102,7.43906044960022,13.711408946203893,164.53690735444673,GEN,21,534,"God was with the boy, and he grew. He lived in the wilderness, and as he grew up, he became an archer.",20.0,142.28988342090847,130.30633884942657,,132.817,2023,11,18,1,2023-11-06
337,30,1698899048.9755087,2023-11-02T00:24:08.975508,2023-11-02T04:24:08.975508+00:00,79,5.763189077377319,13.707688389073448,164.4922606688814,GEN,8,190,"At the end of forty days, Noah opened the window of the ship which he had made,",6.0,138.14602019751078,133.33424684780294,,135.755,2023,11,0,1,2023-11-02
