Test_Number,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Book,Chapter,Verse_Order,Verse,Verse #,Last 10 Avg,Last 100 Avg,Last 1000 Avg,cumulative_avg,Local_Start_Year,Local_Start_Month,Local_Start_Hour,Count,Local_Start_Date,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,Mistake_Free_Test,WPM_Rank,WPM_Percentile,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Min Character Time (ms),Median Character Time (ms),Max Character Time (ms),Backspace % Last 10 Avg,Backspace % Last 100 Avg,Backspace % Last 1000 Avg,Session,Test_#_Within_Session,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Scatter_X_Values
9688,1710600672.970286,2024-03-16 10:51:12.970285,2024-03-16 14:51:12.970285+00:00,135,9.4781667,14.243260777424394,170.91912932909273,JHN,8,30683,"Jesus said therefore again to them, ""I am going away, and you will seek me, and you will die in your sins. Where I go, you can't come.""",21.0,151.69007849560808,140.65196570632,132.10100554218073,133.302,2024,3,10,1,2024-03-16,51,6,4,2,2024-03-16 10:51:22.448451700,2024,3,2024-03-16,10,51,4,6,2,1.0,306,96.87628021302744,0.0,0.0,,,,,,,208,44,3.151081972974479,4.587315382304919,6.8675294628658365,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,4.742583797809765,8.26876870502083,,0
9658,1710600299.1473925,2024-03-16 10:44:59.147392,2024-03-16 14:44:59.147392+00:00,67,4.7151556,14.209499258094471,170.51399109713367,JHN,7,30653,"Some of them would have arrested him, but no one laid hands on him.",44.0,141.09626853406002,135.6369085228607,131.3492817162048,133.254,2024,3,10,1,2024-03-16,44,5,3,2,2024-03-16 10:45:03.862547600,2024,3,2024-03-16,10,45,4,5,2,1.0,331,96.6202376075379,0.0,0.0,,,,,,,208,14,6.374205562090811,5.607010772770179,6.949388809599258,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,11.950616803806652,10.167323767490764,,1
9656,1710600282.649273,2024-03-16 10:44:42.649272,2024-03-16 14:44:42.649272+00:00,124,8.7583963,14.157843028865914,169.89411634639097,JHN,7,30651,"Hasn't the Scripture said that the Christ comes of the offspring of David, and from Bethlehem, the village where David was?""",42.0,145.69355683778537,135.58559070422055,131.3456428775711,133.253,2024,3,10,1,2024-03-16,44,5,3,2,2024-03-16 10:44:51.407668300,2024,3,2024-03-16,10,44,3,5,2,1.0,363,96.29250307251128,0.0,0.0,,,,,,,208,12,4.258820946706196,5.5361247765974255,6.950393582990792,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,6.950616803806653,9.91856762269708,,2
9365,1710171187.7809975,2024-03-11 11:33:07.780997,2024-03-11 15:33:07.780997+00:00,118,8.3786591,14.083399096640656,169.00078915968786,JHN,6,30539,"After these things, Jesus went away to the other side of the sea of Galilee, which is also called the Sea of Tiberias.",1.0,158.15167567474523,142.78023709562137,129.4908847898245,133.117,2024,3,11,1,2024-03-11,33,4,3,2,2024-03-11 11:33:16.159656100,2024,3,2024-03-11,11,33,3,4,2,1.0,391,96.00573535436295,0.0,0.0,,,,,,,203,30,2.76033599754615,4.917006515486464,7.385340701448546,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,4.325475026513766,,,3
9383,1710171467.5221548,2024-03-11 11:37:47.522154,2024-03-11 15:37:47.523159+00:00,109,7.7461879,14.07143764224981,168.85725170699772,JHN,6,30561,"However, boats from Tiberias came near to the place where they ate the bread after the Lord had given thanks.",23.0,151.2187201660285,142.55345740166257,129.3949342471756,133.135,2024,3,11,1,2024-03-11,37,4,3,2,2024-03-11 11:37:55.268341900,2024,3,2024-03-11,11,37,3,4,2,1.0,396,95.95452683326504,0.0,0.0,,,,,,,203,48,4.583426343460095,5.166965726897197,7.358006133353046,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,7.2401613710974,,,4
9672,1710600442.8923645,2024-03-16 10:47:22.892364,2024-03-16 14:47:22.892364+00:00,88,6.2599057,14.05771975127357,168.69263701528286,JHN,8,30667,"Now in our law, Moses commanded us to stone such women. What then do you say about her?""",5.0,148.71494613816745,137.47494560686545,131.70039259278104,133.274,2024,3,10,1,2024-03-16,47,5,4,2,2024-03-16 10:47:29.152269700,2024,3,2024-03-16,10,47,4,5,2,1.0,402,95.89307660794756,0.0,0.0,,,,,,,208,28,4.523296211433096,5.195124242200211,6.913410145596971,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,8.118229849766774,9.428750018301844,,0
9417,1710172003.5062284,2024-03-11 11:46:43.506228,2024-03-11 15:46:43.506228+00:00,115,8.1908306,14.040090146657407,168.48108175988892,JHN,6,30595,"As the living Father sent me, and I live because of the Father, so he who feeds on me will also live because of me.",57.0,142.44897875896837,144.36598253110452,129.45094327133688,133.161,2024,3,11,1,2024-03-11,46,5,4,2,2024-03-11 11:46:51.697058600,2024,3,2024-03-11,11,46,4,5,2,1.0,412,95.79065956575177,0.0,0.0,,,,,,,203,82,8.496918219203234,5.34805883524058,7.341158811978503,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,14.286057941626591,9.43152824744265,,1
9729,1710601314.643824,2024-03-16 11:01:54.643824,2024-03-16 15:01:54.643824+00:00,110,7.848675,14.015104460306995,168.18125352368395,JHN,9,30724,"Jesus answered, ""This man didn't sin, nor did his parents, but that the works of God might be revealed in him.",3.0,143.40748971935028,144.94269790959237,133.29776818560913,133.362,2024,3,11,1,2024-03-16,1,1,1,1,2024-03-16 11:02:02.492499000,2024,3,2024-03-16,11,2,1,1,1,1.0,429,95.61655059401885,0.0,0.0,,,,,,,208,85,4.435181318136952,4.849048731805483,6.712375404413401,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,7.371492295100682,8.517545194601661,,2
9342,1710170879.4793258,2024-03-11 11:27:59.479325,2024-03-11 15:27:59.479325+00:00,132,9.4467128,13.973114542023549,167.67737450428257,JHN,5,30516,"Most certainly I tell you, the hour comes, and now is, when the dead will hear the Son of God's voice; and those who hear will live.",25.0,149.41220530170895,139.78108549144054,129.04076633762108,133.063,2024,3,11,1,2024-03-11,27,3,2,1,2024-03-11 11:28:08.926037800,2024,3,2024-03-11,11,28,2,3,1,1.0,459,95.3092994674314,0.0,0.0,,,,,,,203,7,4.437102442932288,5.319670063368715,7.500134508615251,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,7.646606369466116,,,3
9412,1710171921.5230591,2024-03-11 11:45:21.523059,2024-03-11 15:45:21.523059+00:00,99,7.0956595,13.952191477057209,167.4262977246865,JHN,6,30590,"The Jews therefore contended with one another, saying, ""How can this man give us his flesh to eat?""",52.0,137.43060486424775,144.52569391396756,129.36155632793225,133.155,2024,3,11,1,2024-03-11,45,5,4,2,2024-03-11 11:45:28.618718500,2024,3,2024-03-11,11,45,4,5,2,1.0,465,95.24784924211389,0.0,0.0,,,,,,,203,77,8.313292028800607,5.119562494939366,7.347939660398349,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,15.5029157175578,9.18037504980018,,4
