word,typed_word_without_mistakes,word_duration (ms),Count,characters,CPS,WPM
any,1,215.40498733520508,1,3,13.927254132382338,167.12704958858805
work,1,294.3999767303467,1,4,13.586957595665057,163.0434911479807
therein,0,1487.351655960083,1,7,4.706351703680668,56.47622044416802
that,1,255.2995681762696,1,4,15.667868256002029,188.01441907202434
soul,1,256.4225196838379,1,4,15.59925393811703,187.19104725740436
shall,0,1944.096803665161,1,5,2.571888390831987,30.862660689983848
be,1,160.70127487182617,1,2,12.445451982849429,149.34542379419315
cut,1,256.9606304168701,1,3,11.674940223850893,140.0992826862107
off,1,266.85142517089844,1,3,11.24221089723888,134.90653076686658
from,1,305.7992458343506,1,4,13.080476994265622,156.96572393118745
among,1,552.3309707641602,1,5,9.05254324790516,108.63051897486191
his,1,249.8311996459961,1,3,12.008107891451976,144.0972946974237
people,1,448.8096237182617,1,6,13.368697289268631,160.42436747122358
Six,1,528.3827781677246,1,3,5.677702082575655,68.13242499090785
days,1,217.6117897033692,1,4,18.381357027817643,220.5762843338117
shall,1,384.6864700317383,1,5,12.997597756914816,155.9711730829778
work,1,302.81639099121094,1,4,13.209324590742176,158.5118950889061
be,1,168.92337799072266,1,2,11.83968745942223,142.07624951306676
done,1,270.3728675842285,1,4,14.79438390301457,177.53260683617484
but,1,217.5600528717041,1,3,13.78929615249317,165.47155382991804
on,1,105.77678680419922,1,2,18.907740161384844,226.89288193661812
the,1,144.27900314331055,1,3,20.793046352144096,249.51655622572915
seventh,1,496.248722076416,1,7,14.105829775662553,169.26995730795062
day,1,199.0251541137696,1,3,15.073471558701055,180.88165870441264
is,1,152.85634994506836,1,2,13.084180020775948,157.01016024931138
a,1,190.58728218078613,1,1,5.2469398196854815,62.96327783622578
Sabbath,1,696.0628032684326,1,7,10.056563814544893,120.6787657745387
of,1,176.78451538085938,1,2,11.313208035733552,135.75849642880263
solemn,1,456.7680358886719,1,6,13.135770300403378,157.62924360484052
rest,1,359.851598739624,1,4,11.115693285815466,133.38831942978558
holy,1,284.5802307128906,1,4,14.055790136861436,168.66948164233725
to,1,177.45614051818848,1,2,11.270390498518752,135.24468598222504
the,1,175.8265495300293,1,3,17.062269651646847,204.74723581976218
LORD,1,301.6467094421387,1,4,13.260545780186185,159.12654936223421
Whoever,0,2234.123706817627,1,7,3.133219516286801,37.59863419544161
does,1,206.1817646026612,1,4,19.400357775133582,232.80429330160297
any,1,182.7402114868164,1,3,16.416747992088386,197.0009759050606
work,1,295.7425117492676,1,4,13.525279055556362,162.30334866667636
on,1,150.87127685546875,1,2,13.256333754740835,159.07600505689
the,1,168.57552528381348,1,3,17.796177677330117,213.5541321279614
