word,typed_word_without_mistakes,word_duration (ms),Count,characters,CPS,WPM
some,1,693.7281,1,4,5.765947782711987,69.19137339254385
of,1,116.8691,1,2,17.113163359690457,205.35796031628547
the,1,160.1541,1,3,18.731958782197896,224.78350538637477
blood,1,381.8987,1,5,13.092477141189534,157.1097256942744
of,1,123.4232,1,2,16.204408895572307,194.45290674686768
the,1,409.0968,1,3,7.333227734853952,87.99873281824742
trespass,1,821.0319,1,8,9.743835775443074,116.92602930531689
offering,1,593.2208,1,8,13.485703805395897,161.82844566475075
and,1,141.0226,1,3,21.273185999974473,255.27823199969367
put,1,247.7302,1,3,12.109948645744444,145.31938374893332
it,1,173.7546,1,2,11.510486628843207,138.12583954611847
on,1,203.1857,1,2,9.843212391423215,118.11854869707858
the,1,130.5177,1,3,22.98538818872843,275.8246582647412
tip,1,317.6143,1,3,9.44541854696089,113.34502256353068
of,1,144.3198,1,2,13.858112331086934,166.2973479730432
the,1,202.0427,1,3,14.848346413901616,178.1801569668194
right,1,319.5291,1,5,15.64802704980548,187.77632459766576
ear,1,157.2167,1,3,19.08194231274413,228.98330775292953
of,1,131.7201,1,2,15.183711521628057,182.2045382595367
him,1,290.8156,1,3,10.315815245124401,123.78978294149282
who,1,192.3545,1,3,15.59620388397464,187.1544466076957
is,1,115.8315,1,2,17.266460332465694,207.19752398958832
to,1,171.0884,1,2,11.689863251979679,140.27835902375614
be,1,189.0307,1,2,10.580291984317892,126.9635038118147
cleansed,1,567.419,1,8,14.098928657658625,169.1871438919035
and,1,141.713,1,3,21.16954690113116,254.03456281357393
on,1,117.2689,1,2,17.054820161185106,204.65784193422127
the,1,174.6323,1,3,17.17895257635615,206.14743091627378
thumb,1,1035.155,1,5,4.830194511932995,57.962334143195946
of,1,202.8951,1,2,9.857310501830748,118.28772602196898
his,1,225.0179,1,3,13.332272676973698,159.98727212368436
right,1,445.9103,1,5,11.21301750598719,134.5562100718463
hand,1,289.6698,1,4,13.808826463787387,165.70591756544866
and,1,360.7081,1,3,8.316974306925738,99.80369168310887
on,1,172.7677,1,2,11.576237919472216,138.91485503366658
the,1,159.3934,1,3,18.821356467708195,225.85627761249833
big,1,291.2208,1,3,10.301461983484696,123.61754380181635
toe,1,169.1692,1,3,17.733724578705818,212.80469494446982
of,1,120.8252,1,2,16.552838315185905,198.63405978223085
his,1,211.0561,1,3,14.214230244944353,170.57076293933224
right,1,365.3358,1,5,13.686038981123668,164.23246777348402
foot,1,377.5158,1,4,10.59558301930674,127.14699623168089
and,1,371.2375,1,3,8.08108017104953,96.97296205259437
two,1,289.6514,1,3,10.357277748355436,124.28733298026523
turtledoves,1,981.8224,1,11,11.203655569479777,134.4438668337573
or,1,129.0437,1,2,15.498625659369655,185.98350791243587
two,1,330.1554,1,3,9.086630114182594,109.03956137019112
young,1,270.1024,1,5,18.51149786155177,222.13797433862123
pigeons,1,515.6194,1,7,13.575905018313895,162.91086021976673
such,1,244.2857,1,4,16.3742699634076,196.4912395608912
as,1,126.3763,1,2,15.82575213865258,189.90902566383096
he,1,160.2874,1,2,12.477587134110355,149.73104560932427
is,1,116.63,1,2,17.14824659178599,205.7789591014319
